,commune,district,province
43,Đại Nghĩa,Đại Lộc,Quảng Nam
44,Sơn Phong,Hội An,Quảng Nam
45,Minh An,Hội An,Quảng Nam
46,Cẩm Nam,Hội An,Quảng Nam
47,Minh An,Hội An,Quảng Nam
48,Khuê Trung,Cẩm Lệ,Đà Nẵng
49,Hòa Khánh Nam,Liên Chiểu,Đà Nẵng
50,Phổ Minh,Đức Phổ,Quảng Ngãi
51,Nghĩa Thương,Tư Nghĩa,Quảng Ngãi
52,Đại Hiệp,Đại Lộc,Quảng Nam
53,Hòa Mỹ,Thăng Bình,Quảng Nam
54,Duy Thành,Duy Xuyên,Quảng Nam
55,Cẩm Nam,Hội An,Quảng Nam
56,An Hải Đông,Sơn Trà,Đà Nẵng
57,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng
58,Tuân Chính,Thanh Khê,Đà Nẵng
59,Hòa Phát,Cẩm Lệ,Đà Nẵng
60,Duy Thành,Duy Xuyên,Quảng Nam
61,Điện Hồng,Điện Bàn,Quảng Nam
62,Sông Vệ,Tư Nghĩa,Quảng Ngãi
63,An Hải Tây,Sơn Trà,Đà Nẵng
64,Đại Hưng,Đại Lộc,Quảng Nam
65,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng
66,Nam Dương,Hải Châu,Đà Nẵng
67,Nam Phước,Duy Xuyên,Quảng Nam
68,Hòa Xuân,Cẩm Lệ,Đà Nẵng
69,Nam Dương,Hải Châu,Đà Nẵng
70,Thạch Thang,Hải Châu,Đà Nẵng
71,Tam Thuận,Thanh Khê,Đà Nẵng
72,Bình Thuận,Hải Châu,Đà Nẵng
73,Bình Thuận,Hải Châu,Đà Nẵng
74,Bình Định,Thăng Bình,Quảng Nam
75,Quế Xuân I,Quế Sơn,Quảng Nam
76,Bình Định,Thăng Bình,Quảng Nam
77,Hòa Phú,Hòa Vang,Đà Nẵng
78,Thọ Quang,Sơn Trà,Đà Nẵng
79,Hòa Tiến,Hòa Vang,Đà Nẵng
80,Thạch Thang,Hải Châu,Đà Nẵng
81,An Hải Tây,Sơn Trà,Đà Nẵng
82,Xuân Hà,Thanh Khê,Đà Nẵng
83,Hòa Khương,Hòa Vang,Đà Nẵng
84,Nam Dương,Hải Châu,Đà Nẵng
85,Nam Dương,Hải Châu,Đà Nẵng
86,An Hải Đông,Sơn Trà,Đà Nẵng
87,Cẩm Hà,Hội An,Quảng Nam
88,Hòa Khánh Nam,Liên Chiểu,Đà Nẵng
89,Hòa Khánh Nam,Liên Chiểu,Đà Nẵng
90,Phước Mỹ,Sơn Trà,Đà Nẵng
91,Hòa An,Cẩm Lệ,Đà Nẵng
92,Hòa Tiến,Hòa Vang,Đà Nẵng
93,Phường 12,Quận 10,TP. Hồ Chí Minh
94,Hiệp Bình Chánh,Thủ Đức,TP. Hồ Chí Minh
95,Phú Thọ Hòa,Tân Phú,TP. Hồ Chí Minh
96,Minh An,Hội An,Quảng Nam
97,Điện Thọ,Điện Bàn,Quảng Nam
98,Điện Thọ,Điện Bàn,Quảng Nam
99,Hà Lam,Thăng Bình,Quảng Nam
100,Hà Lam,Thăng Bình,Quảng Nam
101,Nam Phước,Duy Xuyên,Quảng Nam
102,Nam Phước,Duy Xuyên,Quảng Nam
103,Nam Phước,Duy Xuyên,Quảng Nam
104,Cẩm An,Hội An,Quảng Nam
105,Cẩm An,Hội An,Quảng Nam
106,Sơn Phong,Hội An,Quảng Nam
107,Sơn Phong,Hội An,Quảng Nam
108,Sơn Phong,Hội An,Quảng Nam
109,Điện Phước,Điện Bàn,Quảng Nam
110,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng
111,Hòa Tiến,Hòa Vang,Đà Nẵng
112,Thuận Phước,Hải Châu,Đà Nẵng
113,Hòa Phước,Hòa Vang,Đà Nẵng
114,Hòa Tiến,Hòa Vang,Đà Nẵng
115,Hòa Khương,Hòa Vang,Đà Nẵng
116,Đông Phú,Quế Sơn,Quảng Nam
117,Điện Trung,Điện Bàn,Quảng Nam
118,Điện Thọ,Điện Bàn,Quảng Nam
119,Hà Lam,Thăng Bình,Quảng Nam
120,Đại Chánh,Đại Lộc,Quảng Nam
121,Hòa Tiến,Hưng Hà,Thái Bình
122,Đông Hưng Thuận,Quận 12,TP. Hồ Chí Minh
123,Phường 3,Quận 8,TP. Hồ Chí Minh
124,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng
125,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng
126,Thạch Thang,Hải Châu,Đà Nẵng
127,Trương Quang Trọng,TP. Quảng Ngãi,Quảng Ngãi
128,Điện Nam Đông,Điện Bàn,Quảng Nam
129,Trương Quang Trọng,TP. Quảng Ngãi,Quảng Ngãi
130,Thanh Bình,Hải Châu,Đà Nẵng
131,Khuê Trung,Cẩm Lệ,Đà Nẵng
132,Hòa Minh,Liên Chiểu,Đà Nẵng
133,Hải Châu 2,Hải Châu,Đà Nẵng
134,Hòa Thọ Đông,Cẩm Lệ,Đà Nẵng
135,Hải Châu 2,Hải Châu,Đà Nẵng
136,Hòa Tiến,Hòa Vang,Đà Nẵng
137,Mỹ An,Ngũ Hành Sơn,Đà Nẵng
138,Hòa Phước,Hòa Vang,Đà Nẵng
139,Hòa An,Cẩm Lệ,Đà Nẵng
140,Hòa Ninh,Hòa Vang,Đà Nẵng
141,Khuê Trung,Cẩm Lệ,Đà Nẵng
142,Tây Thạnh,Tân Phú,TP. Hồ Chí Minh
143,Lê Hồng Phong,TP. Quảng Ngãi,Quảng Ngãi
144,Duy Phước,Duy Xuyên,Quảng Nam
145,Duy Trung,Duy Xuyên,Quảng Nam
146,Cẩm An,Hội An,Quảng Nam
147,Cẩm Kim,Hội An,Quảng Nam
148,Quang Vinh,Biên Hòa,Đồng Nai
149,Bình Trung,Thăng Bình,Quảng Nam
150,Hà Lam,Thăng Bình,Quảng Nam
151,Hà Lam,Thăng Bình,Quảng Nam
152,Hà Lam,Thăng Bình,Quảng Nam
153,Hà Lam,Thăng Bình,Quảng Nam
154,Tây Thạnh,Tân Phú,TP. Hồ Chí Minh
155,Hòa Thuận,Buôn Mê Thuột,Đắk Lắk
156,Hòa Khê,Thanh Khê,Đà Nẵng
157,Quế Châu,Quế Sơn,Quảng Nam
158,Hòa Nhơn,Hòa Vang,Đà Nẵng
159,An Khê,Thanh Khê,Đà Nẵng
160,An Hải Đông,Sơn Trà,Đà Nẵng
161,Hòa Thọ Đông,Cẩm Lệ,Đà Nẵng
162,Hòa Khương,Hòa Vang,Đà Nẵng
163,Thọ Quang,Sơn Trà,Đà Nẵng
164,An Hải Tây,Sơn Trà,Đà Nẵng
165,Hòa Thọ Đông,Cẩm Lệ,Đà Nẵng
166,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng
167,Bình Hiên,Hải Châu,Đà Nẵng
168,Điện Ngọc,Điện Bàn,Quảng Nam
169,Hòa Cường Nam,Hải Châu,Đà Nẵng
170,Hải Châu 2,Hải Châu,Đà Nẵng
171,Hòa Khê,Thanh Khê,Đà Nẵng
172,Lam Hạ,Phủ Lý,Hà Nam
173,Bình Tân Phú,Bình Sơn,Quảng Ngãi
174,Đông Phú,Quế Sơn,Quảng Nam
175,Điện Nam Trung,Điện Bàn,Quảng Nam
176,Cẩm An,Hội An,Quảng Nam
177,Cẩm An,Hội An,Quảng Nam
178,Nam Phước,Duy Xuyên,Quảng Nam
179,Nam Phước,Duy Xuyên,Quảng Nam
180,Hòa Phong,Hòa Vang,Đà Nẵng
181,Hòa Tiến,Hòa Vang,Đà Nẵng
182,Hòa Tiến,Hòa Vang,Đà Nẵng
183,Thanh Khê Tây,Thanh Khê,Đà Nẵng
184,Tam Thuận,Thanh Khê,Đà Nẵng
185,Tam Thuận,Thanh Khê,Đà Nẵng
186,Thanh Khê Tây,Thanh Khê,Đà Nẵng
187,Bình Phục,Thăng Bình,Quảng Nam
188,Thanh Bình,Hải Châu,Đà Nẵng
189,Hòa Phước,Hòa Vang,Đà Nẵng
190,Hòa Tiến,Hòa Vang,Đà Nẵng
191,Nam Dương,Hải Châu,Đà Nẵng
192,Hòa Tiến,Hòa Vang,Đà Nẵng
193,Hải Châu 1,Hải Châu,Đà Nẵng
194,Hải Châu 2,Hải Châu,Đà Nẵng
195,Tiên Mỹ,Tiên Phước,Quảng Nam
196,Điện Hồng,Điện Bàn,Quảng Nam
197,Điện Hồng,Điện Bàn,Quảng Nam
198,Thuận Phước,Hải Châu,Đà Nẵng
199,Đại Hiệp,Đại Lộc,Quảng Nam
200,Điện Hòa,Điện Bàn,Quảng Nam
201,Phổ Minh,Đức Phổ,Quảng Ngãi
202,Nam Phước,Duy Xuyên,Quảng Nam
203,Nam Phước,Duy Xuyên,Quảng Nam
204,Hòa Hiệp Bắc,Liên Chiểu,Đà Nẵng
205,Xuân Hà,Thanh Khê,Đà Nẵng
206,Khuê Trung,Cẩm Lệ,Đà Nẵng
207,An Hải Đông,Sơn Trà,Đà Nẵng
208,Bình Thuận,Hải Châu,Đà Nẵng
209,An Hải Bắc,Sơn Trà,Đà Nẵng
210,Thuận Phước,Hải Châu,Đà Nẵng
211,Phước Mỹ,Sơn Trà,Đà Nẵng
212,Mân Thái,Sơn Trà,Đà Nẵng
213,An Hải Bắc,Sơn Trà,Đà Nẵng
214,Thọ Quang,Sơn Trà,Đà Nẵng
215,An Hải Đông,Sơn Trà,Đà Nẵng
216,Hòa Cường Nam,Hải Châu,Đà Nẵng
217,Khuê Mỹ,Ngũ Hành Sơn,Đà Nẵng
218,Thạc Gián,Thanh Khê,Đà Nẵng
219,Hòa Phong,Hòa Vang,Đà Nẵng
220,Hòa Phong,Hòa Vang,Đà Nẵng
221,Quang Vinh,Biên Hòa,Đồng Nai
222,Duy Sơn,Duy Xuyên,Quảng Nam
223,Đại Hiệp,Đại Lộc,Quảng Nam
224,Yên Định,Sơn Động,Bắc Giang
225,Yên Định,Sơn Động,Bắc Giang
226,xã Đình Lập,Đình Lập,Lạng Sơn
227,xã Đình Lập,Đình Lập,Lạng Sơn
228,xã Đình Lập,Đình Lập,Lạng Sơn
229,xã Đình Lập,Đình Lập,Lạng Sơn
230,Thọ Quang,Sơn Trà,Đà Nẵng
231,Nại Hiên Đông,Sơn Trà,Đà Nẵng
232,Nại Hiên Đông,Sơn Trà,Đà Nẵng
233,Trưng Nữ Vương,Hải Châu,Đà Nẵng
234,An Hải Bắc,Sơn Trà,Đà Nẵng
235,Nại Hiên Đông,Sơn Trà,Đà Nẵng
236,Nại Hiên Đông,Sơn Trà,Đà Nẵng
237,Hòa Cường Nam,Hải Châu,Đà Nẵng
238,Hòa Khê,Thanh Khê,Đà Nẵng
239,Hòa Khê,Thanh Khê,Đà Nẵng
240,Hòa Khê,Thanh Khê,Đà Nẵng
241,Hòa Phước,Hòa Vang,Đà Nẵng
242,Hòa Phước ,Hòa Vang,Đà Nẵng
243,Hòa Châu,Hòa Vang,Đà Nẵng
244,Hòa Phát,Cẩm Lệ,Đà Nẵng
245,Thanh Bình,Hải Châu,Đà Nẵng
246,Núi Thành,Hải Châu,Đà Nẵng
247,Hòa Nhơn,Hòa Vang,Đà Nẵng
248,Thuận Phước,Hải Châu,Đà Nẵng
249,An Khê,Thanh Khê,Đà Nẵng
250,Phước Mỹ,Sơn Trà,Đà Nẵng
251,Hòa Phong,Hòa Vang,Đà Nẵng
252,Hòa Nhơn,Hòa Vang,Đà Nẵng
253,Hòa Thuận Tây,Hải Châu,Đà Nẵng
254,Phước Mỹ,Sơn Trà,Đà Nẵng
255,An Hải Bắc,Sơn Trà,Đà Nẵng
256,Khuê Trung,Cẩm Lệ,Đà Nẵng
257,Hòa Thuận Tây,Hải Châu,Đà Nẵng
258,Hòa Xuân,Cẩm Lệ,Đà Nẵng
259,Hòa Xuân,Cẩm Lệ,Đà Nẵng
260,Trương Quang Trọng,TP. Quảng Ngãi,Quảng Ngãi
261,Tân Chính,Thanh Khê,Đà Nẵng
262,Hòa Minh,Liên Chiểu,Đà Nẵng
263,Hòa Phú,Hòa Vang,Đà Nẵng
264,Phúc Diễn,Bắc Từ Liêm,Hà Nội
265,Cẩm Hà,Hội An,Quảng Nam
266,Nam Phước ,Duy Xuyên,Quảng Nam
267,Nam Phước,Duy Xuyên,Quảng Nam
268,Khuê Trung,Cẩm Lệ,Đà Nẵng
269,Bình Giang,Thăng Bình,Quảng Nam
270,Bình Sa,Thăng Bình,Quảng Nam
271,Điện Trung,Điện Bàn,Quảng Nam
272,Duy Trung,Duy Xuyên,Quảng Nam
273,Duy Trung,Duy Xuyên,Quảng Nam
274,Hòa Cường Nam,Hải Châu,Đà Nẵng
275,Thanh Khê Đông,Thanh Khê,Đà Nẵng
276,Hòa Khê,Thanh Khê,Đà Nẵng
277,Hòa Hiệp Nam,Liên Chiểu,Đà Nẵng
278,Thanh Khê Đông,Thanh Khê,Đà Nẵng
279,Bình Dương,Thăng Bình,Quảng Nam
280,Điện Thắng,Điện Bàn,Quảng Nam
281,Hòa Minh,Liên Chiểu,Đà Nẵng
282,An Hải Đông,Sơn Trà,Đà Nẵng
283,Hòa Khê,Thanh Khê,Đà Nẵng
284,Đại Hiệp,Đại Lộc,Quảng Nam
285,Nại Hiện Đông,Sơn Trà,Đà Nẵng
286,Lê Văn Hiến,Ngũ Hành Sơn,Đà Nẵng
287,Mân Thái,Sơn Trà,Đà Nẵng
288,Nại Hiên Đông,Sơn Trà,Đà Nẵng
289,Nại Hiên Đông,Sơn Trà,Đà Nẵng
290,An Khê,Thanh Khê,Đà Nẵng
291,Hòa Thọ Tây,Cẩm Lệ,Đà Nẵng
292,Hải Châu 2,Hải Châu,Đà Nẵng
293,Hòa Liên,Hòa Vang,Đà Nẵng
294,Yên Định,Sơn Động,Bắc Giang
295,Quảng Vinh,Sầm Sơn,Thanh Hóa
296,Vĩnh Hòa,Vĩnh Linh,Quảng Trị
297,Đông Lễ,Đông Hà,Quảng Trị
298,Nại Hiên Đông,Sơn Trà,Đà Nẵng
299,Vân Phúc,Phúc Thọ,Hà Nội
300,Nguyễn Văn Thoại,Sơn Trà,Đà Nẵng
301,Bình Thanh,Bình Sơn,Quảng Ngãi
302,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng
303,Đông Phúc,Quế Sơn,Quảng Nam
304,Điện Thắng,Điện Bàn,Quảng Nam
305,Trần Cao Vân,Thanh Khê,Đà Nẵng
306,An Ninh Đông,Tuy An,Phú Yên
307,Đại Hồng,Đại Lộc,Quảng Nam
308,An Hải Đông,Sơn Trà,Đà Nẵng
309,Hòa Thuận Đông,Hải Châu,Đà Nẵng
310,Cẩm Hà,Hội An,Quảng Nam
311,Hòa Hải,Ngũ Hành Sơn,Đà Nẵng
312,Quế Xuân 1,Quế Sơn,Quảng Nam
313,Duy Trung,Duy Xuyên,Quảng Nam
314,Thạch Gián,Thanh Khê,Đà Nẵng
315,Phú Mỹ,Ngũ Hành Sơn,Đà Nẵng
316,Phú Mỹ,Ngũ Hành Sơn,Đà Nẵng
317,Điện Ngọc,Điện Bàn,Quảng Nam
318,Cẩm Phô,Hội An,Quảng Nam
319,Tân An,Hội An,Quảng Nam
320,Duy Thành,Duy Xuyên,Quảng Nam
321,Duy Phước,Duy Xuyên,Quảng Nam
322,Duy Tân,Duy Xuyên,Quảng Nam
323,Nam Phước,Duy Xuyên,Quảng Nam
324,Duy Vinh,Duy Xuyên,Quảng Nam
325,Nại Hiên Đông,Sơn Trà,Đà Nẵng
326,Nại Hiên Đông,Sơn Trà,Đà Nẵng
327,Bình Thuận,Hải Châu,Đà Nẵng
328,Tịnh Ấn Tây,TP. Quảng Ngãi,Quảng Ngãi
329,Thọ Quang,Sơn Trà,Đà Nẵng
330,Đức Thượng,Hoài Đức,Hà Nội
331,Trương Quang Trọng,TP. Quảng Ngãi,Quảng Ngãi
332,Sông Vệ,Tư Nghĩa,Quảng Ngãi
333,Cam Phúc Bắc,Cam Ranh,Khánh Hòa
334,Cẩm Phô,Hội An,Quảng Nam
335,Yên Định,Sơn Động,Bắc Giang
336,Yên Định,Sơn Động,Bắc Giang
337,Nại Hiên Đông,Sơn Trà,Đà Nẵng
338,Duy Nghĩa,Duy Xuyên,Quảng Nam
339,Nại Hiên Đông,Sơn Trà,Đà Nẵng
340,Thanh Khê Đông,Thanh Khê,Đà Nẵng
341,An Khê,Thanh Khê,Đà Nẵng
342,Tân Chính,Thanh Khê,Đà Nẵng
343,Hòa Cường Nam,Hải Châu,Đà Nẵng
344,Nại Hiên Đông,Sơn Trà,Đà Nẵng
345,Hòa Cường Nam,Hải Châu,Đà Nẵng
346,Hải Châu 2,Hải Châu,Đà Nẵng
347,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng
348,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng
349,Hòa Khánh Bắc,Liên Chiểu,Đà Nẵng
350,Hòa Xuân,Cẩm Lệ,Đà Nẵng
351,Hòa Minh,Liên Chiểu,Đà Nẵng
352,Khuê Trung,Cẩm Lệ,Đà Nẵng
353,Yên Định,Sơn Động,Bắc Giang
354,Phú Diễn,Bắc Từ Liêm,Hà Nội
355,Khuê Trung,Cẩm Lệ,Đà Nẵng
356,Thọ Quang,Sơn Trà,Đà Nẵng
357,An Khê,Thanh Khê,Đà Nẵng
358,Nại Hiên Đông,Sơn Trà,Đà Nẵng
359,An Khê,Thanh Khê,Đà Nẵng
360,Duy Trinh,Duy Xuyên,Quảng Nam
361,Điện Phương,Điện Bàn,Quảng Nam
362,Thanh Bình,Hải Châu,Đà Nẵng
363,Hải Châu 2,Hải Châu,Đà Nẵng
364,Thạch Thang,Hải Châu,Đà Nẵng
365,Hòa Tiến,Hòa Vang,Đà Nẵng
366,Hòa Xuân,Cẩm Lệ,Đà Nẵng
367,Hòa Xuân,Cẩm Lệ,Đà Nẵng
368,Hòa Tiến,Hòa Vang,Đà Nẵng
369,Nghĩa Kỳ,Tư Nghĩa,Quảng Ngãi
370,Hòa Xuân,Cẩm Lệ,Đà Nẵng
371,Hòa Xuân,Cẩm Lệ,Đà Nẵng
372,Hòa Xuân,Cẩm Lệ,Đà Nẵng
373,Khuê Trung,Cẩm Lệ,Đà Nẵng
374,Hướng Tân,Hướng Hóa,Quảng Trị
375,Đông Giang,Đông Hà,Quảng Trị
376,Đại Thắng,Đại Lộc,Quảng Nam
377,Đại Phong,Đại Lộc,Quảng Nam
378,Đại Đồng,Đại Lộc,Quảng Nam
379,Đại Đồng,Đại Lộc,Quảng Nam
380,Đại Quang,Đại Lộc,Quảng Nam
381,Đại Quang,Đại Lộc,Quảng Nam
382,Cẩm Thanh,Hội An,Quảng Nam
383,Phước Hòa,Tam Kỳ,Quảng Nam
384,Tân An,Hội An,Quảng Nam
385,Tân Chính,Thanh Khê,Đà Nẵng
386,Hòa Phát,Cẩm Lệ,Đà Nẵng
387,Hòa Thuận Đông,Hải Châu,Đà Nẵng
388,Hòa Khê,Thanh Khê,Đà Nẵng
